# Result of 'intser'
# Date/time = Wed Jun 14 11:58:39 CEST 2017
# Data set list (full path) = /Volumes/Data/yar/Dropbox/_eth2/data_NMR/spectra/170310_IN70a_pR02_co-UP1_303K_600/integr_datasets_31P_PNM.txt
# Region to calibrate = 0
# Value of region to calibrate = 20.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   3.4714285714285715  1.5571428571428572  0.0  0.0  # for region 1
#   0.42857142857142855  -2.676190476190476  0.0  0.0  # for region 2
#   -4.3238095238095235  -5.352380952380952  0.0  0.0  # for region 3
#   -5.352380952380952  -5.390476190476191  0.0  0.0  # for region 4
#   -5.390476190476191  -5.804761904761905  0.0  0.0  # for region 5
#   -9.101442036015632  -9.806884238970339  0.0  0.0  # for region 6
#   -9.80952380952381  -10.433333333333334  0.0  0.0  # for region 7
#   -10.433333333333334  -11.219047619047618  0.0  0.0  # for region 8
#   -17.60952380952381  -19.052380952380954  0.0  0.0  # for region 9
#   -19.052380952380954  -19.714285714285715  0.0  0.0  # for region 10

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5; Integral 6; Integral 7; Integral 8; Integral 9;
0;20.0;0.9180012938921107;17.932289800232006;0.14056691206160343;1.0020596441035887;0.7522710425487821;19.57398761303404;-0.12927731151004332;19.801000708372303;-0.15764688608580565;
1;0.3753290943475657;-1.3258706741791062;36.135658506032165;0.2179032613707377;2.0924528915089766;2.416461286958836;39.85142604327324;0.7012888968827375;40.334754244639456;0.09664850068494917;
2;0.941444684184098;-1.1924732458271978;34.72954191954786;0.1882917887504808;2.229377151707273;2.4956326229400916;39.300445662376994;1.0425582547778631;39.445764075403225;0.1826592216271668;
3;1.26803689659742;-0.9194862783967603;34.23237265995537;0.14725529579169513;2.110940397036605;2.5020321809303887;38.318360766222284;1.030374614614628;38.971883238617686;0.09534661696734888;
4;1.6600078858606062;-0.26328889694058144;33.8303532724281;0.14072829632100456;2.2370642880486113;2.6100871404866703;37.81952107182499;1.3483950052112135;38.32240123488366;0.19665075095386536;
5;1.9536868457938354;-0.22399047590477575;32.36097603060241;0.20388183958721828;2.356092123752265;2.501149428392205;36.98916195183834;0.9409195049546732;37.59890098407213;0.17417898502317453;
6;2.353076269912715;0.323232320217129;32.427961438389914;0.19493075051951472;2.2796201211027025;2.1372123796412015;36.08090718110535;1.2380104510281449;36.78053874022883;0.08661365368468811;
7;3.179581138188339;0.8372075661005434;31.41251955111176;0.22335143531795268;2.42907588303392;2.559784258820814;35.316182456210896;1.2586055243901824;36.0743523764489;0.4614922532055685;
8;3.431364040970068;1.4625020771366208;31.053996047809918;0.2441202979921484;2.277003985629771;2.807348064698551;34.66227905151572;1.2990443488960683;35.60247517495061;0.13327387533138385;
9;4.235174405708646;1.6460686782144742;30.448276991087837;0.26796127609094217;2.499342577531595;2.4524420003808283;33.792549745885985;1.3221119526042961;34.593103403773895;0.48082016545405654;
