# Result of 'intser'
# Date/time = Wed Apr 25 13:02:49 CEST 2018
# Data set list (full path) = /Volumes/Data/yar/Dropbox/_eth2/data_NMR/spectra/170322_IN75a_EV2_co-UP1_303K_600/integr_datasets_31P.txt
# Region to calibrate = 0
# Value of region to calibrate = 20.0
# Global scaling = yes

# --- Integral info --- 
# A 1.0 #regions in PPM
# # low field   high field  bias        slope
#   3.4714285714285715  1.5571428571428572  0.0  0.0  # for region 1
#   0.6548148148148147  -3.6266666666666665  0.0  0.0  # for region 2
#   -4.3238095238095235  -5.352380952380952  0.0  0.0  # for region 3
#   -5.352380952380952  -5.390476190476191  0.0  0.0  # for region 4
#   -5.390476190476191  -5.804761904761905  0.0  0.0  # for region 5
#   -9.101442036015632  -9.806884238970339  0.0  0.0  # for region 6
#   -9.80952380952381  -10.393086419753086  0.0  0.0  # for region 7
#   -10.393086419753086  -11.971358024691357  0.0  0.0  # for region 8
#   -17.60952380952381  -19.02320987654321  0.0  0.0  # for region 9
#   -19.02320987654321  -20.584691358024692  0.0  0.0  # for region 10

# Spectrum#; Integral 0; Integral 1; Integral 2; Integral 3; Integral 4; Integral 5; Integral 6; Integral 7; Integral 8; Integral 9;
0;20.0;-0.3623287589270992;-0.28130022116937586;-0.06003942080675241;-0.01450863891244668;-0.12868610498099978;0.00493023534913731;-0.15059742629760828;0.48589826413065235;0.36533618289076675;
1;0.24106890064774997;-1.0386828469275142;19.51428496359428;0.10258179746170405;1.2216406389218784;1.3566541770123746;21.56865255697607;0.7244739033008527;21.888984399885494;0.24490218562825558;
2;0.5338666082829212;-0.7048640223775997;18.19091877088479;0.12070595256703269;1.3369228947422422;1.2969001755141765;20.698602319219898;0.6653932071944749;21.10607302249587;0.11750206150633767;
3;1.2991862153861722;-0.4776423414017718;17.401422467034617;0.11602799686844782;1.2754083648608852;1.2510762665855268;19.661751424470115;0.47487787486322786;20.148847434238178;0.11486861748381394;
4;1.7584374602172428;-0.007437390074528773;16.810389550333113;0.1332240050414758;1.2402215888417152;1.2076705693324674;18.860603355106754;0.45601328470621305;19.458059110377317;0.07974835016311013;
5;2.48864016404969;0.7728180692404281;15.890511891092114;0.11618127864504778;1.294199066719149;1.3916100819583865;17.752498465473405;0.2925925389347915;18.45667428990461;0.1989586374579447;
6;3.1246301204400337;1.1326939111968324;15.112990852267032;0.14591258980379732;1.2836828960723674;1.2365558239773144;17.027587877006344;0.7129687501673712;17.41006298610864;0.16259130116259302;
7;3.907064472567801;2.06514173853987;14.042417257479837;0.16870838546420786;1.2807772405563294;1.261245339151279;15.91880144050004;0.7662195345635039;16.49825293745322;0.396125620757738;
8;4.507457548313909;2.6338649932946567;13.52831504431852;0.1155819093965453;1.372906085992269;1.4152802089144239;15.134170807961622;0.7338325560899068;15.557073818695155;0.4710946895913697;
9;5.227927907162206;3.0454785080742486;12.650225509441334;0.14955312531191775;1.4252634192501572;1.3014926757264937;14.181514857339074;0.6766284365512493;14.735361172492155;0.3203801072190527;
10;5.873549564945377;3.6553171535605684;11.885340053438862;0.14893024164643243;1.5760289072236484;1.2857740056419693;13.40268931603904;0.41335100956669885;13.938722247247291;0.3865370877191801;
11;6.525065014061344;4.111412269442279;11.26618017334733;0.15844186132018542;1.427906190248634;1.3554103156596455;12.596507796344243;0.7306525432006321;13.410963115669771;0.23594345641189673;
12;7.094285150591207;4.1076654860813715;10.856720661347438;0.1608699384775985;1.4931288681548474;1.3467480676871586;12.033229103317803;0.48899558769613516;12.670292102723565;0.258338322067092;
13;7.68463106444252;5.10012100785416;9.93181936534038;0.15710741120028437;1.644778576319087;1.4372290569982893;11.248635558462462;0.5486763208390125;11.898141100079167;0.35376247494010854;
14;7.973771863887331;5.070363068309703;9.548577702803415;0.1498822694647387;1.6217163013514604;1.5485488295234855;10.689235677406145;0.4342862206210329;11.135580723418636;0.39608532545274294;
15;8.621381834982595;5.5264205776832105;9.00989738512294;0.14086749593713033;1.617530740557686;1.5246196978710043;10.00931384686117;0.4152950927823259;10.768960165685348;-0.002444467823780644;
16;9.101311370633784;5.864257389297734;8.4345796139562;0.13962327252657977;1.7098622382733821;1.3550254539637872;9.505539105035597;0.9215763320643116;9.88225294580817;0.40723550583240636;
17;9.653071320633815;6.136350112237708;8.09972452868309;0.13166335429251838;1.5704560993214531;1.510504939864255;8.851122735997743;0.7488166542877865;9.56296139613848;0.4103692224864378;
18;9.645686668505574;6.663422945060611;7.650757892902995;0.15983262415596286;1.6501223773896163;1.4517586518310228;8.549643360925108;0.575016011750971;9.362221957773952;0.28885256748650706;
19;10.226326642823121;6.617321072771405;7.145141181401087;0.18148276367867358;1.7057938817382063;1.468393450360516;8.105797455164074;0.8380852147693256;8.940413537755735;0.3908716853567072;
20;10.692423328120636;6.3871166121950465;6.824391407377695;0.17446852215115954;1.725214448836163;1.5035952030864073;7.8717894831793735;0.776419836058492;8.467912425564325;0.5231613474248118;
21;10.74952726011831;6.761314189111749;6.58238781968288;0.15738684518745624;1.7547331655462965;1.4232466377421336;7.456362431688404;0.9059092872854037;8.338692468870311;0.5028229457649914;
22;10.893858296865924;7.028572019726681;6.400814238872541;0.1646260708704649;1.7539604045335684;1.4838801245155762;7.246906592088162;0.8309257334243229;7.96942130313063;0.5044352418396322;
23;11.367548060155162;7.077133883196015;6.200914491658584;0.17505177456709206;1.747234183226701;1.5134837453118277;6.976377715982077;0.5461951911827332;7.849054331355771;0.16451515902071678;
